id,AOI_Name,AOI_Description,Date_Created,Date_Updated,row_number,locode,type,parent_id,region_id,level_id,shape_nbr,AOI_GeoJson_Polygon,geometry
7172,CNSTG anchorage 2, locode: CNSTG FID: 7172,10/21/2020,10/21/2020,,CNSTG,ANC,0,9,1,2,"{'type': 'Polygon', 'coordinates': [[[116.6388819814501, 23.334541723983723], [116.63796108951342, 23.34172887548761], [116.60526942576166, 23.351029317583954], [116.59928362817332, 23.342997155960397], [116.62184548062173, 23.334964508368877], [116.6388819814501, 23.334541723983723]]]}","POLYGON(( 116.6388819814501 23.334541723983723, 116.63796108951342 23.34172887548761, 116.60526942576166 23.351029317583954, 116.59928362817332 23.342997155960397, 116.62184548062173 23.334964508368877, 116.6388819814501 23.334541723983723))"
4489,HKHKG anchorage 3, locode: HKHKG FID: 4489,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,3,"{'type': 'Polygon', 'coordinates': [[[114.0821810951901, 22.267055352712365], [114.09921723596835, 22.285069702328926], [114.07430306247753, 22.343421429589196], [114.05538405476487, 22.324118867928078], [114.05573219184585, 22.294159071605247], [114.06577026819004, 22.261539346930906], [114.0821810951901, 22.267055352712365]]]}","POLYGON(( 114.0821810951901 22.267055352712365, 114.09921723596835 22.285069702328926, 114.07430306247753 22.343421429589196, 114.05538405476487 22.324118867928078, 114.05573219184585 22.294159071605247, 114.06577026819004 22.261539346930906, 114.0821810951901 22.267055352712365))"
4487,HKHKG anchorage 1, locode: HKHKG FID: 4487,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[114.158453651382, 22.301863584794848], [114.15759014476319, 22.320856907323762], [114.14699075657299, 22.32035018849769], [114.14183577887302, 22.30749009463948], [114.10831528260422, 22.316664599815834], [114.10006677596328, 22.3071534339038], [114.12330475349083, 22.291198625370107], [114.13855350508922, 22.294301358279455], [114.158453651382, 22.301863584794848]]]}","POLYGON(( 114.158453651382 22.301863584794848, 114.15759014476319 22.320856907323762, 114.14699075657299 22.32035018849769, 114.14183577887302 22.30749009463948, 114.10831528260422 22.316664599815834, 114.10006677596328 22.3071534339038, 114.12330475349083 22.291198625370107, 114.13855350508922 22.294301358279455, 114.158453651382 22.301863584794848))"
7140,CNCWN anchorage 1, locode: CNCWN FID: 7140,10/21/2020,10/21/2020,,CNCWN,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.85403282028098, 22.492769753651014], [113.84781679970845, 22.49064264311156], [113.84712613075595, 22.47362458196238], [113.85357237431265, 22.450646882369135], [113.87083909812516, 22.45554060061203], [113.86232084771099, 22.480219328900564], [113.85403282028098, 22.492769753651014]]]}","POLYGON(( 113.85403282028098 22.492769753651014, 113.84781679970845 22.49064264311156, 113.84712613075595 22.47362458196238, 113.85357237431265 22.450646882369135, 113.87083909812516 22.45554060061203, 113.86232084771099 22.480219328900564, 113.85403282028098 22.492769753651014))"
4495,HKHKG anchorage 8, locode: HKHKG FID: 4495,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,8,"{'type': 'Polygon', 'coordinates': [[[113.78022635441681, 22.08199466889058], [113.74026167543003, 22.101222543880155], [113.60865830877339, 21.951669765342128], [113.64638853025332, 21.91407366222145], [113.78022635441681, 22.08199466889058]]]}","POLYGON(( 113.78022635441681 22.08199466889058, 113.74026167543003 22.101222543880155, 113.60865830877339 21.951669765342128, 113.64638853025332 21.91407366222145, 113.78022635441681 22.08199466889058))"
7138,HKHKG anchorage 10, locode: HKHKG FID: 7138,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,10,"{'type': 'Polygon', 'coordinates': [[[114.1768054440834, 22.285436055698707], [114.1894677082126, 22.28980303568418], [114.19718017818221, 22.2968325217471], [114.21110866872432, 22.296299997303525], [114.25864971495484, 22.274571269801527], [114.26498084701946, 22.289270484453642], [114.22365582136143, 22.304287650832915], [114.21433179050267, 22.300453634136726], [114.20454731367556, 22.310251467615593], [114.19902196205554, 22.308760537297115], [114.19683484370597, 22.30024063012365], [114.1755392176705, 22.288737931194053], [114.1768054440834, 22.285436055698707]]]}","POLYGON(( 114.1768054440834 22.285436055698707, 114.1894677082126 22.28980303568418, 114.19718017818221 22.2968325217471, 114.21110866872432 22.296299997303525, 114.25864971495484 22.274571269801527, 114.26498084701946 22.289270484453642, 114.22365582136143 22.304287650832915, 114.21433179050267 22.300453634136726, 114.20454731367556 22.310251467615593, 114.19902196205554 22.308760537297115, 114.19683484370597 22.30024063012365, 114.1755392176705 22.288737931194053, 114.1768054440834 22.285436055698707))"
4458,CNSTG anchorage 1, locode: CNSTG FID: 4458,10/21/2020,10/21/2020,,CNSTG,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[117.1127376838671, 23.414870870417815], [116.96420841807665, 23.420624201137226], [116.79740070491324, 23.312132624096165], [116.80915770804262, 23.20070290692668], [116.7648906710001, 23.15254402200003], [116.62718268255358, 23.151358086778163], [116.5763179747552, 22.98430150737888], [116.37478629742105, 22.919305117959965], [116.48544496129269, 22.698605721578236], [117.13587421852884, 23.054488170948023], [117.1127376838671, 23.414870870417815]]]}","POLYGON(( 117.1127376838671 23.414870870417815, 116.96420841807665 23.420624201137226, 116.79740070491324 23.312132624096165, 116.80915770804262 23.20070290692668, 116.7648906710001 23.15254402200003, 116.62718268255358 23.151358086778163, 116.5763179747552 22.98430150737888, 116.37478629742105 22.919305117959965, 116.48544496129269 22.698605721578236, 117.13587421852884 23.054488170948023, 117.1127376838671 23.414870870417815))"
7158,HKHKC anchorage 1, locode: HKHKC FID: 7158,10/21/2020,10/21/2020,,HKHKC,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[114.09999730099082, 22.365228379094148], [114.1105587803895, 22.36293963207452], [114.11156600594524, 22.364429983243305], [114.10805510543668, 22.369566249876318], [114.10431398194395, 22.372360512242697], [114.09786773838728, 22.36807595368163], [114.09999730099082, 22.365228379094148]]]}","POLYGON(( 114.09999730099082 22.365228379094148, 114.1105587803895 22.36293963207452, 114.11156600594524 22.364429983243305, 114.10805510543668 22.369566249876318, 114.10431398194395 22.372360512242697, 114.09786773838728 22.36807595368163, 114.09999730099082 22.365228379094148))"
7168,CNNSA anchorage 3, locode: CNNSA FID: 7168,10/21/2020,10/21/2020,,CNNSA,ANC,0,9,1,3,"{'type': 'Polygon', 'coordinates': [[[113.55308821316521, 22.739739937622886], [113.57438383920066, 22.72137234949163], [113.58002430231276, 22.723177366276627], [113.57680118053443, 22.733263786371854], [113.55677178091187, 22.743349462549997], [113.55308821316521, 22.739739937622886]]]}","POLYGON(( 113.55308821316521 22.739739937622886, 113.57438383920066 22.72137234949163, 113.58002430231276 22.723177366276627, 113.57680118053443 22.733263786371854, 113.55677178091187 22.743349462549997, 113.55308821316521 22.739739937622886))"
4490,HKHKG anchorage 4, locode: HKHKG FID: 4490,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,4,"{'type': 'Polygon', 'coordinates': [[[114.6624180188835, 21.9030332970429], [114.68299238542619, 22.11100876925051], [114.50234211825017, 22.151195790762866], [114.33507047986329, 22.077748067572916], [114.16086579414086, 21.944071927948443], [114.41517719595632, 21.811982529298728], [114.6624180188835, 21.9030332970429]]]}","POLYGON(( 114.6624180188835 21.9030332970429, 114.68299238542619 22.11100876925051, 114.50234211825017 22.151195790762866, 114.33507047986329 22.077748067572916, 114.16086579414086 21.944071927948443, 114.41517719595632 21.811982529298728, 114.6624180188835 21.9030332970429))"
7150,CNZHA anchorage 1, locode: CNZHA FID: 7150,10/21/2020,10/21/2020,,CNZHA,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[110.44447410019154, 21.08799988284066], [110.46222962126349, 21.100222656862666], [110.4259838081587, 21.18310727752141], [110.4204584565387, 21.186112583638756], [110.411249537172, 21.150903736798597], [110.41309132104533, 21.13930874703121], [110.41953756460201, 21.125135860701334], [110.44447410019154, 21.08799988284066]]]}","POLYGON(( 110.44447410019154 21.08799988284066, 110.46222962126349 21.100222656862666, 110.4259838081587 21.18310727752141, 110.4204584565387 21.186112583638756, 110.411249537172 21.150903736798597, 110.41309132104533 21.13930874703121, 110.41953756460201 21.125135860701334, 110.44447410019154 21.08799988284066))"
4434,CNSDG anchorage 2, locode: CNSDG FID: 4434,10/21/2020,10/21/2020,,CNSDG,ANC,0,9,1,2,"{'type': 'Polygon', 'coordinates': [[[110.97061453801832, 21.39994797594657], [111.00641304986544, 21.24820636241352], [111.27305152769597, 21.311664629874567], [111.18668366095667, 21.448736130708006], [110.97061453801832, 21.39994797594657]]]}","POLYGON(( 110.97061453801832 21.39994797594657, 111.00641304986544 21.24820636241352, 111.27305152769597 21.311664629874567, 111.18668366095667 21.448736130708006, 110.97061453801832 21.39994797594657))"
7174,CNZEL anchorage 1, locode: CNZEL FID: 7174,10/21/2020,10/21/2020,,CNZEL,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[117.05124012396658, 23.545449056207467], [117.06505350301661, 23.51125363428837], [117.35145089532061, 23.466068291186144], [117.42696403412744, 23.577947572350123], [117.20226640158026, 23.579635587269287], [117.08945713933834, 23.53531800579138], [117.07656465222497, 23.555579326081798], [117.05124012396658, 23.545449056207467]]]}","POLYGON(( 117.05124012396658 23.545449056207467, 117.06505350301661 23.51125363428837, 117.35145089532061 23.466068291186144, 117.42696403412744 23.577947572350123, 117.20226640158026 23.579635587269287, 117.08945713933834 23.53531800579138, 117.07656465222497 23.555579326081798, 117.05124012396658 23.545449056207467))"
7152,CNSDG anchorage 1, locode: CNSDG FID: 7152,10/21/2020,10/21/2020,,CNSDG,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[111.07040671871574, 21.481807940018438], [111.07357228474805, 21.48470002019166], [111.06102513211094, 21.496589079399747], [111.05785956607865, 21.491126659299916], [111.07040671871574, 21.481807940018438]]]}","POLYGON(( 111.07040671871574 21.481807940018438, 111.07357228474805 21.48470002019166, 111.06102513211094 21.496589079399747, 111.05785956607865 21.491126659299916, 111.07040671871574 21.481807940018438))"
7141,MOMFM anchorage 1, locode: MOMFM FID: 7141,10/21/2020,10/21/2020,,MOMFM,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.65632883262737, 22.043388873682762], [113.68763915847411, 22.12957362415555], [113.67474667136075, 22.20035928430555], [113.6112051277306, 22.214000614602863], [113.59923353255391, 22.15942734263376], [113.60936334385725, 22.128720567770294], [113.6084424519206, 22.0476566825709], [113.65632883262737, 22.043388873682762]]]}","POLYGON(( 113.65632883262737 22.043388873682762, 113.68763915847411 22.12957362415555, 113.67474667136075 22.20035928430555, 113.6112051277306 22.214000614602863, 113.59923353255391 22.15942734263376, 113.60936334385725 22.128720567770294, 113.6084424519206 22.0476566825709, 113.65632883262737 22.043388873682762))"
4492,HKHKG anchorage 6, locode: HKHKG FID: 4492,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,6,"{'type': 'Polygon', 'coordinates': [[[114.36439752973338, 22.107933836322044], [113.97376262969674, 22.14030145168588], [113.95010292220337, 22.085235223831873], [114.03898429900005, 22.05297660800005], [114.07834944667643, 21.985221815627185], [114.28942221163088, 22.055430520134614], [114.36439752973338, 22.107933836322044]]]}","POLYGON(( 114.36439752973338 22.107933836322044, 113.97376262969674 22.14030145168588, 113.95010292220337 22.085235223831873, 114.03898429900005 22.05297660800005, 114.07834944667643 21.985221815627185, 114.28942221163088 22.055430520134614, 114.36439752973338 22.107933836322044))"
7166,CNCAN anchorage 3, locode: CNCAN FID: 7166,10/21/2020,10/21/2020,,CNCAN,ANC,0,9,1,3,"{'type': 'Polygon', 'coordinates': [[[113.55435443957809, 22.920735323935975], [113.56103090611896, 22.901967987508176], [113.56218202103979, 22.883516209860808], [113.55803800732478, 22.86760749161412], [113.56494469684979, 22.866334713651764], [113.56862826459647, 22.885106979171912], [113.56724692669145, 22.902710247892486], [113.56183668656354, 22.922749742335384], [113.55435443957809, 22.920735323935975]]]}","POLYGON(( 113.55435443957809 22.920735323935975, 113.56103090611896 22.901967987508176, 113.56218202103979 22.883516209860808, 113.55803800732478 22.86760749161412, 113.56494469684979 22.866334713651764, 113.56862826459647 22.885106979171912, 113.56724692669145 22.902710247892486, 113.56183668656354 22.922749742335384, 113.55435443957809 22.920735323935975))"
7151,CNZNG anchorage 1, locode: CNZNG FID: 7151,10/21/2020,10/21/2020,,CNZNG,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[110.50957535859982, 21.082491998877586], [110.57828746894326, 21.06374166252404], [110.58775548760924, 21.085243502875482], [110.4982479677597, 21.108494160954653], [110.49053418523032, 21.08356127329572], [110.50957535859982, 21.082491998877586]]]}","POLYGON(( 110.50957535859982 21.082491998877586, 110.57828746894326 21.06374166252404, 110.58775548760924 21.085243502875482, 110.4982479677597 21.108494160954653, 110.49053418523032 21.08356127329572, 110.50957535859982 21.082491998877586))"
4425,CNJMN anchorage 1, locode: CNJMN FID: 4425,10/21/2020,10/21/2020,,CNJMN,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.41089057900001, 21.781568527000047], [113.31087136138001, 21.873607291853972], [113.22370635821666, 21.876777429797592], [113.17592841995196, 21.91466096222904], [113.05377110136297, 21.8301636469298], [113.22405109952317, 21.646224474346653], [113.41089057900001, 21.781568527000047]]]}","POLYGON(( 113.41089057900001 21.781568527000047, 113.31087136138001 21.873607291853972, 113.22370635821666 21.876777429797592, 113.17592841995196 21.91466096222904, 113.05377110136297 21.8301636469298, 113.22405109952317 21.646224474346653, 113.41089057900001 21.781568527000047))"
7160,CNZSN anchorage 1, locode: CNZSN FID: 7160,10/21/2020,10/21/2020,,CNZSN,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.76674953140892, 22.397439831452086], [113.76168462575724, 22.424257057747315], [113.66084695869202, 22.46979222454171], [113.64924446617088, 22.45632424199927], [113.66930083916034, 22.417368592862065], [113.61756503766858, 22.385519403190813], [113.6258530650986, 22.35230711059961], [113.76674953140892, 22.397439831452086]]]}","POLYGON(( 113.76674953140892 22.397439831452086, 113.76168462575724 22.424257057747315, 113.66084695869202 22.46979222454171, 113.64924446617088 22.45632424199927, 113.66930083916034 22.417368592862065, 113.61756503766858 22.385519403190813, 113.6258530650986 22.35230711059961, 113.76674953140892 22.397439831452086))"
7139,CNMWN anchorage 1, locode: CNMWN FID: 7139,10/21/2020,10/21/2020,,CNMWN,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.81857848071924, 22.497874685533592], [113.82456427830758, 22.473411842961607], [113.83952877227843, 22.475326482204842], [113.83147096783259, 22.499150889072176], [113.81857848071924, 22.497874685533592]]]}","POLYGON(( 113.81857848071924 22.497874685533592, 113.82456427830758 22.473411842961607, 113.83952877227843 22.475326482204842, 113.83147096783259 22.499150889072176, 113.81857848071924 22.497874685533592))"
4486,CNZUH anchorage 1, locode: CNZUH FID: 4486,10/21/2020,10/21/2020,,CNZUH,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.85578346300008, 22.265321732000075], [113.85885048497343, 22.329699525668445], [113.82645124163005, 22.32228423324796], [113.7805919650001, 22.212163925000027], [113.80800437900007, 22.185766220000062], [113.85578346300008, 22.265321732000075]]]}","POLYGON(( 113.85578346300008 22.265321732000075, 113.85885048497343 22.329699525668445, 113.82645124163005 22.32228423324796, 113.7805919650001 22.212163925000027, 113.80800437900007 22.185766220000062, 113.85578346300008 22.265321732000075))"
